run	library	sample	include
DS	DS026_HR	DS026_HR	Y
DS	DS026_HR	DS026_HR	Y
DS	DS027_HR	DS027_HR	Y
DS	DS027_HR	DS027_HR	Y
DS	DS027_SG	DS027_SG	Y
DS	DS027_SG	DS027_SG	Y
DS	DS028_HR	DS028_HR	Y
DS	DS028_HR	DS028_HR	Y
DS	DS029_HR	DS029_HR	Y
DS	DS029_HR	DS029_HR	Y
DS	DS030_HR	DS030_HR	Y
DS	DS030_HR	DS030_HR	Y
DS	DS031_HR	DS031_HR	Y
DS	DS031_HR	DS031_HR	Y
DS	DS032_HR	DS032_HR	Y
DS	DS032_HR	DS032_HR	Y
DS	DS033_HR	DS033_HR	Y
DS	DS033_HR	DS033_HR	Y
DS	DS034_HR	DS034_HR	Y
DS	DS034_HR	DS034_HR	Y
DS	DS035_HR	DS035_HR	Y
DS	DS035_HR	DS035_HR	Y
DS	DS036_HR	DS036_HR	Y
DS	DS036_HR	DS036_HR	Y
DS	DS037_HR	DS037_HR	Y
DS	DS037_HR	DS037_HR	Y
DS	DS038_HR	DS038_HR	Y
DS	DS038_HR	DS038_HR	Y
DS	DS064_HR	DS064_HR	Y
DS	DS064_HR	DS064_HR	Y
DS	DS065_HR	DS065_HR	Y
DS	DS065_HR	DS065_HR	Y
DS	DS066_HR	DS066_HR	Y
DS	DS066_HR	DS066_HR	Y
DS	DS067_HR	DS067_HR	Y
DS	DS067_HR	DS067_HR	Y
DS	DS068_HR	DS068_HR	Y
DS	DS068_HR	DS068_HR	Y
DS	DS068_SG	DS068_SG	Y
DS	DS068_SG	DS068_SG	Y
DS	DS069_HR	DS069_HR	Y
DS	DS069_HR	DS069_HR	Y
DS	DS070_HR	DS070_HR	Y
DS	DS070_HR	DS070_HR	Y
DS	DS071_HR	DS071_HR	Y
DS	DS071_HR	DS071_HR	Y
DS	DS073_HR	DS073_HR	Y
DS	DS073_HR	DS073_HR	Y
DS	DS074_HR	DS074_HR	Y
DS	DS074_HR	DS074_HR	Y
DS	DS075_HR	DS075_HR	Y
DS	DS075_HR	DS075_HR	Y
DS	DS076_HR	DS076_HR	Y
DS	DS076_HR	DS076_HR	Y
DS	DS077_HR	DS077_HR	Y
DS	DS077_HR	DS077_HR	Y
DS	DS078_HR	DS078_HR	Y
DS	DS078_HR	DS078_HR	Y
DS	DS079_HR	DS079_HR	Y
DS	DS079_HR	DS079_HR	Y
DS	DS080_HR	DS080_HR	Y
DS	DS080_HR	DS080_HR	Y
DS	DS081_HR	DS081_HR	Y
DS	DS081_HR	DS081_HR	Y
DS	DS082_HR	DS082_HR	Y
DS	DS082_HR	DS082_HR	Y
DS	DS083_HR	DS083_HR	Y
DS	DS083_HR	DS083_HR	Y
DS	DS084_HR	DS084_HR	Y
DS	DS084_HR	DS084_HR	Y
DS	DS085_HR	DS085_HR	Y
DS	DS085_HR	DS085_HR	Y
DS	DS086_HR	DS086_HR	Y
DS	DS086_HR	DS086_HR	Y
DS	DS087_HR	DS087_HR	Y
DS	DS087_HR	DS087_HR	Y
DS	DS088_HR	DS088_HR	Y
DS	DS088_HR	DS088_HR	Y
DS	DS089_HR	DS089_HR	Y
DS	DS089_HR	DS089_HR	Y
DS	DS090_HR	DS090_HR	Y
DS	DS090_HR	DS090_HR	Y
DS	DS091_HR	DS091_HR	Y
DS	DS091_HR	DS091_HR	Y
DS	DS092_HR	DS092_HR	Y
DS	DS092_HR	DS092_HR	Y
DS	DS093_HR	DS093_HR	Y
DS	DS093_HR	DS093_HR	Y
DS	DS094_HR	DS094_HR	Y
DS	DS094_HR	DS094_HR	Y
DS	DS095_HR	DS095_HR	Y
DS	DS095_HR	DS095_HR	Y
DS	DS096_HR	DS096_HR	Y
DS	DS096_HR	DS096_HR	Y
DS	DS097_HR	DS097_HR	Y
DS	DS097_HR	DS097_HR	Y
DS	DSEXC041219_HR	DSEXC041219_HR	Y
DS	DSEXC041219_HR	DSEXC041219_HR	Y
DS	DSNTC021019_HR	DSNTC021019_HR	Y
DS	DSNTC021019_HR	DSNTC021019_HR	Y
DS	DSNTC091019_HR	DSNTC091019_HR	Y
DS	DSNTC091019_HR	DSNTC091019_HR	Y
DS	DSNTC101219_HR	DSNTC101219_HR	Y
DS	DSNTC101219_HR	DSNTC101219_HR	Y
DS	DSNTC111219_HR	DSNTC111219_HR	Y
DS	DSNTC111219_HR	DSNTC111219_HR	Y
DS	DSNTC190819_HR	DSNTC190819_HR	Y
DS	DSNTC190819_HR	DSNTC190819_HR	Y
DS	DSNTC290621_HR	DSNTC290621_HR	Y
